plot,interval_order,month_start,month_end,genet,tag,genotype,species,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot E,1,May,June,59,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,17.8575,16.4075,0.0017857500000000002,0.0016407499999999998,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,6,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,2.4575,3.975,2.4575e-4,3.975e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,60,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,18.8325,19.62,0.00188325,0.001962,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,61,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,10.8775,9.985,0.00108775,9.985e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,62,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,15.3625,14.03,0.00153625,0.001403,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,7,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,dead,none,1,480,cm2,21.1325,0,0.00211325,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,1,May,June,8,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.0875,5.1375,4.0875000000000004e-4,5.1375e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,9,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.7275,5.15,3.7275e-4,5.15e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,0,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,grow,n/s,1,480,cm2,0.2375,0.4325,2.3749999999999998e-5,4.325e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,11,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,4.0925,4.0925,4.0925e-4,4.0925e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,13,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,2.3,2.3,2.2999999999999998e-4,2.2999999999999998e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,14,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,4.695,4.695,4.6950000000000003e-4,4.6950000000000003e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,16,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,8.3075,8.3075,8.307499999999999e-4,8.307499999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,18,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,2.83,2.83,2.83e-4,2.83e-4,TRUE,TRUE,TRUE,FALSE,FALSE
